"","Latitude","Longitude","Visibility","Mean Landings","Mean Personal","Mean Pengumpul","Mean Papalele","Mean Market","Mean On-Island","Total Landings","Total Personal","Total Pengumpul","Total Papalele","Total Market","Total On-Island","Proportion Personal","Proportion Pengumpul","Proportion Papalele","Proportion Market","Proportion On-Island","Rugosity","Dead Coral With Algae","Macroalgae","Rubble","Rock","Soft Coral","Sand","All Hard Coral","All Abiotic Substrate","NPP (Mean)","NPP (Min)","NPP (Max)","NPP (SD)","NPP (Interannual SD)","Reef Area within 5km","Wave Energy (Mean)","Wave Energy (SD)","Wave Energy (Interannual SD)","SST SD","SST 50th Percentile","SST 98th Percentile","SST 2nd Percentile","SST Kurtosis","SST Skewness","Population","Fishers","Rowboats","Motorboats"
"Total Personal",-0.0345609438792194,-0.583105155705804,0.350564665658787,0.523724261414503,0.735004476275739,0.853944671545456,0.284818658206401,0.284818658206401,0.213965980304387,0.906893464637422,1,0.911655821470386,0.877743034724128,0.886699596302946,0.906893464637422,0.27484333034915,0.862962038721226,-0.0412001832625611,0.0268696847364529,-0.561940996376353,-0.330961656599006,-0.390604213923616,-0.0237490860148214,-0.0643326124306563,0.60881163241905,0.433531252565559,-0.194010009063529,-0.36276517646536,0.0562970031450164,0.355513358443332,0.506229744815817,0.312958143467571,-0.226961146537389,-0.221641744665419,0.285031283639729,0.218885977901723,0.184325034022503,0.205593307178946,0.281485015725082,0.606195454609799,0.330077575463688,0.409690556194884,0.377234249420543,0.270846211981142,-0.670679657938939,-0.679767458182014,-0.726340584583609,-0.822445921998292
"Total Pengumpul",-0.206189191045369,-0.349896809046687,0.247171906468253,0.63933133276212,0.572602815661419,0.943687556766576,0.473623831285826,0.473623831285826,0.377827684664779,0.992812126052319,0.911655821470386,1,0.975214022133291,0.982431147181456,0.992812126052319,0.0964858287807431,0.950953678474115,0.0604434222783816,0.143440360332279,-0.706155498193994,-0.268750089414598,-0.364818907046754,-0.0975241884027452,-0.072842311186709,0.611430260384034,0.511680775690253,-0.373719213238821,-0.37432534407072,-0.0317009904659755,0.481319263694671,0.593835455207711,0.37773292865092,-0.151807559977911,-0.100014392456036,0.395146148766033,0.327581961530955,0.299911550611446,0.324904179829067,0.262984273020558,0.547656230769241,0.21417705322935,0.189115683432325,0.47015694310806,0.141538225038229,-0.644413097225576,-0.649905254304203,-0.716156499852286,-0.791785978835402
"Total Papalele",-0.231396073031936,-0.291683172519184,0.200540865777616,0.744290267199746,0.5991939696229,0.917477021747972,0.596774193548387,0.596774193548387,0.529332789308122,0.981639149038413,0.877743034724128,0.975214022133291,1,0.99820788530466,0.981639149038413,0.01522615468399,0.91567274048593,0.220430107526882,0.274193548387097,-0.628200954671669,-0.238862595407882,-0.339711443317092,-0.158093547513928,-0.118957675358171,0.569100681942392,0.421307946145811,-0.424866511670872,-0.299925555536715,-0.0882529276663331,0.480734540654799,0.570317914466856,0.350350818373885,-0.156992645195386,-0.00798267687434169,0.345472515839565,0.266859072730317,0.252673872850965,0.271291947692615,0.246132536958869,0.47874205002706,0.130844036942329,0.177626898466453,0.439490710137367,0.10067042502642,-0.630066655204979,-0.636430964853514,-0.68065014844261,-0.763717157824217
"Total Market",-0.208345123227988,-0.314734122323131,0.222123739224534,0.72100320709482,0.579489534149501,0.91567274048593,0.575268817204301,0.575268817204301,0.498880479940142,0.988804398301467,0.886699596302946,0.982431147181456,0.99820788530466,1,0.988804398301467,0.0313479655258617,0.917477021747972,0.197132616487455,0.258064516129032,-0.629997097501324,-0.25134049218292,-0.360138536640734,-0.144386014492489,-0.0932131038254327,0.574431835871595,0.417760089757215,-0.406977395389993,-0.308799092682772,-0.0598700765575626,0.466543115100414,0.561448273495365,0.357446531151078,-0.146349076029598,-0.0363655279831121,0.341924659450969,0.26153962277556,0.249127572881126,0.267745647722776,0.242584680570272,0.505011717862036,0.150426137709208,0.197165857297763,0.432394997360175,0.104218281415016,-0.617338035907909,-0.621883971371148,-0.67298085099537,-0.75826203526833
"Total On-Island",-0.224203046190833,-0.334975302213972,0.222923172008665,0.679498657117278,0.554162936436884,0.936904449562543,0.532019757781768,0.532019757781768,0.435989256938227,1,0.906893464637422,0.992812126052319,0.981639149038413,0.988804398301467,1,0.0743061772605192,0.944118343303159,0.148678922208373,0.231079288733495,-0.64183356614871,-0.287308571340994,-0.380839108575525,-0.10413060791114,-0.0749807689709029,0.628350444838042,0.477859601498643,-0.362092413229168,-0.377843435633847,-0.0261537258705194,0.49204467315723,0.593113308724661,0.398068573419092,-0.141850716585868,-0.0886566978661675,0.401171557844408,0.326999699780306,0.308389960768419,0.331430590021232,0.25932084125854,0.538287076572854,0.196623030127965,0.181542185789499,0.472096916137342,0.113923856758025,-0.643416257209714,-0.643416257209714,-0.709092391282151,-0.780642040880147
"Proportion Personal",0.270284304696459,-0.324341165635751,0.261575173606941,-0.455684870188004,0.28379588182632,0.0315607851151963,-0.602776594254427,-0.602776594254427,-0.566696508504924,0.0743061772605192,0.27484333034915,0.0964858287807431,0.01522615468399,0.0313479655258617,0.0743061772605192,1,0.047792046031583,-0.692342210042603,-0.710255333200239,0.237882370670501,0.249891641119841,-0.205954949159725,0.527047024251997,0.131770937185551,0.11945319410702,-0.062946255484979,0.328118310259518,-0.0780521651074614,0.26464024313051,-0.20657010602817,-0.125005943991296,0.0398955140397754,-0.0248238754025269,-0.308525308574263,-0.300102922276977,-0.188755924263429,-0.226861580335389,-0.242812785202721,0.269073078023819,0.129025918270196,-0.134344242304628,0.115849658902345,-0.202580554624193,-0.399398423887085,0.0981482426252106,0.0581619215556803,-0.188771893354843,-0.179029664788579
"Proportion Pengumpul",-0.452545107619057,-0.173163216722085,0.0923499430760505,0.693435535816743,0.621296598410579,0.998183469573116,0.52233942536094,0.52233942536094,0.431931887719401,0.944118343303159,0.862962038721226,0.950953678474115,0.91567274048593,0.917477021747972,0.944118343303159,0.047792046031583,1,0.109159016353495,0.192155954407392,-0.754980590258623,-0.314513877595381,-0.246789260649275,-0.0423218176087385,-0.19618266632494,0.606062913548183,0.677776106019026,-0.443960414763226,-0.460089623380479,-0.160290923623735,0.642056680141871,0.695635818957604,0.452743722992947,-0.151807559977911,-0.0892985646928889,0.585352091561886,0.579293441508418,0.55162303058891,0.576615659806531,0.383537335355958,0.484728204252875,0.289452670263934,-0.00938872187252675,0.692510369193353,0.171006751386882,-0.798193495427134,-0.803685652505761,-0.86961860696349,-0.890644806250689
"Proportion Papalele",-0.403391621569084,0.31650727230805,-0.432556755331987,0.742498954883982,0.0349305901573888,0.132614672760031,0.874551971326165,0.874551971326165,0.889386564776591,0.148678922208373,-0.0412001832625611,0.0604434222783816,0.220430107526882,0.197132616487455,0.148678922208373,-0.692342210042603,0.109159016353495,1,0.982078853046595,0.136955890761157,-0.21925447190425,0.0341931779547922,-0.323497779305957,-0.231701143794647,0.054644327774328,-0.0824876610348641,-0.283542493051929,0.0550159303055513,-0.247906465153167,0.379620633579805,0.270524049630468,0.0860355174234604,-0.0292698152059195,0.350350818373885,0.279837172650534,0.188840473393879,0.240261822956531,0.244694697918829,-0.137035953009532,-0.0702034226624354,-0.114822318133064,-0.182067570928114,0.256776106124658,0.107766137803613,-0.251844824663462,-0.218204902235491,-0.0556024064924949,-0.0490961030029854
"Proportion Market",-0.406937921538922,0.26153962277556,-0.419966745821285,0.760412078041617,0.0098522177366994,0.208394485765763,0.89247311827957,0.89247311827957,0.871473441618956,0.231079288733495,0.0268696847364529,0.143440360332279,0.274193548387097,0.258064516129032,0.231079288733495,-0.710255333200239,0.192155954407392,0.982078853046595,1,0.0543333205970493,-0.287882904166962,-0.023535564046805,-0.33172229911882,-0.1979668776483,0.147050995880509,0.000886964097149076,-0.269231200027226,-0.0248459040089586,-0.202671296198564,0.436386335797345,0.352124746568183,0.132157650475212,-0.0363655279831121,0.307776541710729,0.36942054646259,0.257993322805722,0.29877577245886,0.313847547330672,-0.162757911826855,0.0194757882224821,-0.0560760158324267,-0.164304881081469,0.307333059662155,0.167192732312601,-0.302759301851743,-0.261845882682589,-0.0977835424523187,-0.0927370834500836
"Proportion On-Island",0.321661524101489,0.107516697282542,-0.2266788912535,-0.409337211417918,-0.329444641645562,-0.753172253515489,-0.260889746007319,-0.260889746007319,-0.157092131574859,-0.64183356614871,-0.561940996376353,-0.706155498193994,-0.628200954671669,-0.629997097501324,-0.64183356614871,0.237882370670501,-0.754980590258623,0.136955890761157,0.0543333205970493,1,0.281383724935877,0.0315996416709964,0.228972390483003,0.13168140557594,-0.350420719063659,-0.716499926685669,0.487677657100915,0.356183961555628,0.213794332962659,-0.42225491957282,-0.475592383097808,-0.286244387584101,0.0915626457178957,0.0817841107383146,-0.516039959604257,-0.506483615297925,-0.47804944742155,-0.503817912059515,-0.26890971193848,-0.337279906996661,-0.458537424234403,-0.0338249685492356,-0.583600746735908,-0.386252131693453,0.594122397830291,0.598678551187886,0.582255080717188,0.615991933946744
"Rugosity",0.069665878144029,0.108467126730577,-0.211546924099204,-0.293544726377853,-0.149222281239121,-0.301951269075166,-0.244210265454327,-0.244210265454327,-0.163476349894798,-0.287308571340994,-0.330961656599006,-0.268750089414598,-0.238862595407882,-0.25134049218292,-0.287308571340994,0.249891641119841,-0.314513877595381,-0.21925447190425,-0.287882904166962,0.281383724935877,1,0.231008509341048,0.269961628016312,-0.309053212423336,-0.292091543212092,-0.352452318499851,-0.254450009820136,0.582088633729313,-0.427442173499819,-0.0639619351470318,0.0277903580294,-0.175123367264632,0.261582258911654,0.262464492499889,-0.376272625382194,-0.410940496393893,-0.433868506922307,-0.406531263599967,-0.228057382558727,-0.211739553658825,-0.330234908295154,-0.194347503078511,-0.423031005558645,-0.515665532323311,0.412378155472162,0.36806559052011,0.320869332546491,0.309283616604122
"Dead Coral With Algae",-0.317223688498512,0.592268049994452,-0.371241022235873,-0.103865211429689,-0.126946369525175,-0.226223488928502,-0.063501616201757,-0.063501616201757,-0.0035509473993056,-0.380839108575525,-0.390604213923616,-0.364818907046754,-0.339711443317092,-0.360138536640734,-0.380839108575525,-0.205954949159725,-0.246789260649275,0.0341931779547922,-0.023535564046805,0.0315996416709964,0.231008509341048,1,-0.241383837113761,-0.271447452578652,-0.0343461063680717,-0.138461658848494,-0.116137672630478,0.0875110276898056,-0.336703589453798,-0.089670407635215,-0.118681421870138,-0.27076946619261,-0.216263924296695,0.0237362843740275,0.191648518279185,0.0386643830856912,0.0676626703999596,0.0456942709194532,0.152527605144214,-0.447124901916272,-0.0229378590547422,-0.475792253521127,0.112088009544019,-0.232527674701121,0,0.022528703633292,0.0375323382895235,0.154096332851717
"Macroalgae",0.0135624756793948,-0.0280291164040827,-0.0646575695754738,-0.26032651977785,0.11417829814818,-0.0561224103072401,-0.296996548797842,-0.296996548797842,-0.274027915555631,-0.10413060791114,-0.0237490860148214,-0.0975241884027452,-0.158093547513928,-0.144386014492489,-0.10413060791114,0.527047024251997,-0.0423218176087385,-0.323497779305957,-0.33172229911882,0.228972390483003,0.269961628016312,-0.241383837113761,1,-0.174733918249814,-0.33663636321611,-0.086837939519743,0.0501711224287659,0.337549788180551,-0.15875060818453,0.175937283714479,0.138850247044589,0.0239708895549291,-0.0818628492347577,0.123472695254635,-0.137493404239593,-0.0424957571287705,-0.0361666018117196,-0.0334541066758406,-0.00995018056997055,0.307171182408785,-0.238739667702705,-0.09012267089238,-0.0949789963497189,-0.211667477579374,0.139083866981726,0.102922061566477,-0.0586609485891828,-0.00185445155975635
"Rubble",0.548090067273791,-0.256478044301197,0.279310609572629,-0.333198565071882,-0.310127559234681,-0.222102016317757,-0.283190286860124,-0.283190286860124,-0.332311218693528,-0.0749807689709029,-0.0643326124306563,-0.072842311186709,-0.118957675358171,-0.0932131038254327,-0.0749807689709029,0.131770937185551,-0.19618266632494,-0.231701143794647,-0.1979668776483,0.13168140557594,-0.309053212423336,-0.271447452578652,-0.174733918249814,1,-0.115757087103373,-0.299648621841682,0.759436695673523,-0.342417615497416,0.931019691616606,-0.602812183529015,-0.555360495612737,0.0202109041124888,-0.0123022894597758,-0.205623980970539,-0.157293558092848,-0.185331737491618,-0.16425135028878,-0.214317269895521,-0.200351571202063,-0.0179489250528942,-0.05246931941089,0.346238484893678,-0.332161815413947,0.139718858864597,0.309858610563708,0.330575901386282,0.257861968510559,0.250408993420671
