"","Latitude","Longitude","Visibility","Mean Landings","Mean Personal","Mean Pengumpul","Mean Papalele","Mean Market","Mean On-Island","Total Landings","Total Personal","Total Pengumpul","Total Papalele","Total Market","Total On-Island","Proportion Personal","Proportion Pengumpul","Proportion Papalele","Proportion Market","Proportion On-Island","Rugosity","Dead Coral With Algae","Macroalgae","Rubble","Rock","Soft Coral","Sand","All Hard Coral","All Abiotic Substrate","NPP (Mean)","NPP (Min)","NPP (Max)","NPP (SD)","NPP (Interannual SD)","Reef Area within 5km","Wave Energy (Mean)","Wave Energy (SD)","Wave Energy (Interannual SD)","SST SD","SST 50th Percentile","SST 98th Percentile","SST 2nd Percentile","SST Kurtosis","SST Skewness","Population","Fishers","Rowboats","Motorboats"
"Total Personal",0.190716123651276,-0.733598474330075,0.498137183748031,0.363190756595112,0.611747493523152,0.58492576784152,0.135327936252581,0.297438882194338,0.232478526380149,0.75394861208017,1,0.621142841717114,0.701326669876702,0.677756792224634,0.797055715667365,0.01837206930598,0.740468123610736,-0.103048660445637,0.173098499432579,-0.101135414511921,-0.386141564763213,-0.312519004527247,-0.21938729491773,0.00713016528870084,0.576197469869011,0.186172241762487,0.0223784731603358,-0.315543960838332,0.170083839467359,0.176724847732299,0.278133043390157,0.191682761672109,0.0349880397699363,-0.0786669776846624,0.150833042771944,0.160083484938825,0.142889676365399,0.144698541296756,-0.0455206188390495,0.605447737389369,0.437532617532036,0.516155201712176,0.184185109034178,0.346266083016738,-0.203882192718491,-0.291249340235769,-0.443829838280576,-0.563797650926029
"Total Pengumpul",-0.385047716416757,-0.0491188960026888,-0.100312241793303,0.850811135545967,0.413908041191248,0.998181921264015,0.655946805150602,0.824815337641021,0.707917768291096,0.982390643794775,0.621142841717114,1,0.992458620245508,0.996379307420374,0.966826104703985,-0.399524587093857,0.969407595410069,0.14896873227575,0.479032182825197,-0.30565211160517,-0.342685733005279,-0.247013366577251,-0.203802716007287,-0.241245823109141,0.495438704856746,0.422710755801946,-0.287126495741819,-0.264503835126601,-0.162342122810096,0.545061747600679,0.631992348287343,0.423465630361262,0.217194475819938,0.287850983313832,0.55668288915052,0.544495589949927,0.522665395155542,0.543489225204144,-0.0368252745706555,0.541390511137027,0.150026729986993,0.0376772854446114,0.528316032620264,0.177781095884387,-0.538945652503456,-0.564569939885881,-0.527962415869196,-0.573745093598286
"Total Papalele",-0.335956368470473,-0.145303730605102,-0.0329446343022571,0.837222145910646,0.465689571507946,0.984451458966956,0.634647042923369,0.804305941415848,0.695639982628197,0.996888823582928,0.701326669876702,0.992458620245508,1,0.999286905067014,0.98948463951154,-0.391225638420911,0.986766848812433,0.15479404456035,0.490417981975933,-0.288622374064116,-0.379469836931174,-0.248165173045794,-0.238722472450174,-0.243121390722088,0.53629196788138,0.418515747684825,-0.255422259060204,-0.282625273584261,-0.140284401042659,0.519887307830315,0.61640540551219,0.405971493647736,0.192670069022601,0.252296255607351,0.537457011670856,0.527557733174011,0.506216949785303,0.524642054512852,-0.0368319915155542,0.56447337852042,0.207156641301431,0.103625381149219,0.515538975197822,0.234443910372007,-0.549303891562612,-0.58108185638709,-0.553589032237546,-0.603361949601683
"Total Market",-0.351618757171506,-0.115909961163656,-0.0537488269542098,0.842755760473891,0.450489072329122,0.990265670697817,0.642229677844718,0.811918249094249,0.700541780372043,0.994027826038782,0.677756792224634,0.996379307420374,0.999286905067014,1,0.984098098716245,-0.394411773767933,0.983008263470489,0.1532488789575,0.487700336571853,-0.294332665357985,-0.368750173169169,-0.248209896383582,-0.228350496752664,-0.242935055043558,0.524571349038009,0.420481685010598,-0.265599269417135,-0.277498339492212,-0.147304651431295,0.528478706772312,0.622198961515789,0.412013749620428,0.20053446310908,0.263654295240081,0.544244367612292,0.533624376568828,0.512098484613002,0.531292127527339,-0.0368892170904023,0.558271919755145,0.189892483820988,0.0834782983427024,0.520304624404484,0.21736756097575,-0.54699756260105,-0.57693117647502,-0.54658650344947,-0.595210440256523
"Total On-Island",-0.245919404438456,-0.271948773980767,0.073163829501878,0.782972968106975,0.518650099040029,0.952693991812065,0.565120589585466,0.741745618471215,0.636504985573383,0.997526099502225,0.797055715667365,0.966826104703985,0.98948463951154,0.984098098716245,1,-0.32771184997498,0.986215693948842,0.110229874347347,0.45059600948625,-0.265036663250487,-0.399829913944019,-0.273652565840231,-0.246756089730676,-0.204521511248003,0.571249994730791,0.392334389374768,-0.21184865429183,-0.303460344008361,-0.0843358582704193,0.476297714167907,0.578642295897588,0.382825219435696,0.170325967825311,0.197779203449501,0.485928917178588,0.479419369549199,0.45785113584867,0.473827592479324,-0.0404397370972906,0.601059791875162,0.264276589149969,0.19251951659429,0.474127597540794,0.268875561105483,-0.506729266601789,-0.551378141487899,-0.559045866454982,-0.625554555456665
"Proportion Personal",0.369685899705958,-0.369481240857906,0.0937228590202504,-0.61889426793611,0.325897996147276,-0.396916131906803,-0.730770612650128,-0.678749728991821,-0.659439485733885,-0.349656223018755,0.01837206930598,-0.399524587093857,-0.391225638420911,-0.394411773767933,-0.32771184997498,1,-0.353468394503274,-0.655409376518777,-0.709136483973402,0.426712510364619,0.296419283299735,-0.263404877190486,0.618775545812357,0.262764397761715,-0.10232047642775,-0.186063448160542,0.387901196565506,-0.0252266797710547,0.324605503372998,-0.25218964959789,-0.203479955889933,-0.183200208296947,-0.132286145894642,-0.256248746062777,-0.372708631370607,-0.324538169501483,-0.362389972804417,-0.334369889071624,0.0883471695727686,0.0201465946261845,-0.214557367795331,0.0969733593937337,-0.299183105727422,-0.338050310627579,0.427238339025744,0.288512347102899,0.0377206276911365,-0.0643221581802775
"Proportion Pengumpul",-0.377923817340224,-0.182592369036888,0.00414705378600159,0.78994412248625,0.548475907935103,0.959870271413504,0.566497015555472,0.745182920777399,0.642745311162353,0.988153996116934,0.740468123610736,0.969407595410069,0.986766848812433,0.983008263470489,0.986215693948842,-0.353468394503274,1,0.128300446114695,0.471591787874462,-0.274602971175038,-0.424348679237308,-0.244929308395806,-0.207576553396182,-0.274760230014388,0.566611498181856,0.496432394526053,-0.251003828327681,-0.351443162316431,-0.1544487987783,0.50352695046966,0.616145891724322,0.394041857054829,0.17119326678943,0.206794775395515,0.579913947677539,0.601953429760711,0.578396199596896,0.59727935257517,0.0607289762009398,0.570850224980655,0.304404694494885,0.0811306300465329,0.597314029386746,0.27512536004678,-0.612542605340494,-0.650477446302501,-0.636438870392682,-0.68982007454181
"Proportion Papalele",-0.352113525295227,0.3484201767457,-0.281968012485099,0.588367918176504,-0.121985142910146,0.150694718049461,0.765080305580672,0.621673685500796,0.726395541126338,0.121624655927629,-0.103048660445637,0.14896873227575,0.15479404456035,0.1532488789575,0.110229874347347,-0.655409376518777,0.128300446114695,1,0.935034503760758,0.403388692879037,-0.19841972881039,0.219500226575856,-0.40585925085604,-0.168670620782024,0.0806811989807732,-0.022592867973163,-0.165868090181705,0.138240991998756,-0.171705363807608,0.144544919515411,0.128185271890472,0.109504234131745,0.0546982784094788,0.23439931598463,0.210533724537175,0.219455126263356,0.274677166118732,0.261277328988332,-0.000113332598843969,-0.149932072738722,-0.0257898013998011,-0.214799445732007,0.188140779370383,-0.0557397986468017,-0.276305608805179,-0.212950597322113,-0.0788406933109847,0.0795296329761557
"Proportion Market",-0.448199331919458,0.244524383654488,-0.249233645254242,0.805570590298499,0.0876214163881248,0.477157167598159,0.882812273664585,0.819182292023065,0.875674748911013,0.461420822789024,0.173098499432579,0.479032182825197,0.490417981975933,0.487700336571853,0.45059600948625,-0.709136483973402,0.471591787874462,0.935034503760758,1,0.260505655742061,-0.328137510393701,0.10760702637412,-0.435087087789381,-0.248206044030271,0.274309042223394,0.157391459294834,-0.237220944745513,-0.00272581327327806,-0.207891720021974,0.308541019714152,0.334257143397586,0.238241873194945,0.109839380540333,0.282351312826516,0.394525222334865,0.410337193094644,0.451016753440756,0.445853022104172,0.021610532361739,0.0707710413587305,0.085896756165936,-0.161987155217765,0.380834913511294,0.0487985510446205,-0.464672439436146,-0.421901480638204,-0.297636612331118,-0.175903553199589
"Proportion On-Island",0.0262503566006971,-0.0304249338076284,-0.224089837654039,-0.045273042025104,0.248763036587477,-0.300425171456824,0.0307872857068899,-0.0779077652861009,0.070884027198481,-0.277978241899233,-0.101135414511921,-0.30565211160517,-0.288622374064116,-0.294332665357985,-0.265036663250487,0.426712510364619,-0.274602971175038,0.403388692879037,0.260505655742061,1,0.121523965704763,-0.0562839649856439,0.263670510634736,0.116372892600679,-0.0273531538188903,-0.252472807340387,0.271334357633111,0.134971266259221,0.187660686526208,-0.132450214156543,-0.0930270143907566,-0.0908269411083095,-0.0947698584044592,-0.029773562399674,-0.199444315418791,-0.13040212547517,-0.110135799267393,-0.0922342937099431,0.106898582416631,-0.155125134395165,-0.290821840531454,-0.139722155911982,-0.137180709148407,-0.476298925963743,0.186750892918425,0.0945448670251042,-0.0487069256142507,0.0173036181002906
